0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg
1.26,0.28,0.32,0.32,0.26,0.29,0.27,0.32,5.7,0.62,0.55,0.48,0.48,0.53,0.54,0.55,0.6,5.69,1.23,1.2,1.16,1.16,1.19,1.14,1.15,1.16,5.65,5.64,5.63,5.68,5.65,5.66,5.26
1.2,0.3,0.3,0.27,0.29,0.29,0.3,0.32,5.69,0.57,0.55,0.58,0.54,0.53,0.58,0.5,0.55,5.63,1.19,1.15,1.15,1.19,1.14,1.14,1.15,1.16,5.63,5.68,5.63,5.66,5.7,5.68,5.22
1.25,0.28,0.32,0.27,0.31,0.29,0.27,0.28,5.64,0.52,0.59,0.53,0.57,0.57,0.58,0.55,0.6,5.68,1.23,1.2,1.19,1.15,1.14,1.19,1.16,1.17,5.68,5.68,5.66,5.68,5.7,5.68,5.21
1.26,0.32,0.3,0.31,0.31,0.29,0.27,0.32,5.68,0.57,0.55,0.58,0.59,0.57,0.49,0.59,0.61,5.68,1.19,1.16,1.2,1.14,1.14,1.14,1.19,1.17,5.65,5.65,5.64,5.68,5.63,5.64,5.21
1.2,0.28,0.32,0.27,0.28,0.29,0.3,0.28,5.66,0.62,0.6,0.58,0.48,0.57,0.58,0.55,0.56,5.69,1.19,1.16,1.2,1.19,1.14,1.19,1.14,1.16,5.64,5.65,5.64,5.68,5.66,5.66,5.25
1.25,0.28,0.3,0.31,0.26,0.26,0.27,0.32,5.68,0.61,0.55,0.58,0.53,0.53,0.58,0.59,0.61,5.68,1.24,1.1,1.19,1.1,1.19,1.14,1.14,1.16,5.64,5.63,5.64,5.68,5.7,5.68,5.21
1.21,0.32,0.3,0.27,0.31,0.26,0.3,0.32,5.68,0.62,0.55,0.58,0.59,0.53,0.58,0.59,0.61,5.68,1.19,1.16,1.16,1.14,1.19,1.15,1.14,1.21,5.63,5.66,5.69,5.68,5.65,5.68,5.25
1.2,0.32,0.32,0.31,0.31,0.26,0.27,0.28,5.68,0.62,0.55,0.58,0.53,0.57,0.58,0.59,0.6,5.68,1.15,1.15,1.2,1.14,1.14,1.19,1.16,1.16,5.65,5.66,5.63,5.68,5.7,5.68,5.25
1.2,0.32,0.32,0.31,0.31,0.29,0.3,0.32,5.63,0.62,0.59,0.48,0.57,0.57,0.54,0.59,0.61,5.69,1.19,1.16,1.15,1.14,1.14,1.14,1.14,1.16,5.68,5.65,5.68,5.68,5.68,5.68,5.25
1.21,0.32,0.32,0.31,0.26,0.26,0.3,0.28,5.7,0.58,0.59,0.53,0.53,0.53,0.58,0.59,0.51,5.69,1.2,1.16,1.15,1.19,1.14,1.19,1.15,1.16,5.64,5.68,5.68,5.65,5.68,5.64,5.26
1.26,0.32,0.32,0.27,0.29,0.29,0.3,0.32,5.65,0.61,0.55,0.58,0.53,0.57,0.58,0.59,0.6,5.64,1.2,1.11,1.15,1.19,1.14,1.19,1.15,1.16,5.68,5.68,5.66,5.68,5.68,5.64,5.25
1.2,0.32,0.32,0.31,0.29,0.29,0.27,0.32,5.7,0.62,0.6,0.54,0.5,0.53,0.58,0.59,0.57,5.68,1.22,1.17,1.15,1.14,1.14,1.14,1.15,1.16,5.69,5.65,5.69,5.68,5.68,5.69,5.22
1.2,0.32,0.3,0.27,0.29,0.29,0.3,0.32,5.65,0.62,0.55,0.58,0.57,0.57,0.53,0.59,0.55,5.7,1.24,1.15,1.15,1.15,1.14,1.14,1.19,1.21,5.69,5.64,5.65,5.69,5.63,5.64,5.21
1.21,0.28,0.3,0.27,0.28,0.29,0.31,0.32,5.68,0.52,0.5,0.58,0.54,0.57,0.54,0.55,0.56,5.68,1.2,1.15,1.15,1.14,1.14,1.14,1.14,1.16,5.65,5.65,5.69,5.68,5.68,5.64,5.25
1.21,0.28,0.32,0.31,0.31,0.29,0.31,0.28,5.68,0.62,0.59,0.53,0.53,0.57,0.54,0.55,0.56,5.68,1.19,1.15,1.15,1.14,1.14,1.19,1.15,1.16,5.68,5.7,5.63,5.66,5.68,5.66,5.25
1.2,0.28,0.32,0.31,0.31,0.26,0.27,0.32,5.65,0.62,0.59,0.58,0.57,0.57,0.58,0.59,0.6,5.66,1.19,1.2,1.15,1.14,1.14,1.14,1.14,1.17,5.68,5.68,5.65,5.68,5.68,5.68,5.25
1.24,0.28,0.32,0.27,0.31,0.26,0.27,0.28,5.68,0.62,0.55,0.58,0.53,0.53,0.54,0.59,0.61,5.65,1.2,1.17,1.19,1.09,1.14,1.14,1.15,1.17,5.66,5.65,5.64,5.68,5.68,5.65,5.21
1.21,0.32,0.32,0.27,0.31,0.29,0.3,0.28,5.68,0.61,0.6,0.58,0.57,0.53,0.58,0.59,0.61,5.69,1.19,1.15,1.16,1.19,1.1,1.19,1.14,1.16,5.65,5.68,5.69,5.69,5.68,5.66,5.25
1.2,0.32,0.29,0.27,0.31,0.26,0.3,0.32,5.65,0.62,0.55,0.53,0.56,0.53,0.58,0.55,0.61,5.7,1.23,1.15,1.15,1.14,1.19,1.14,1.15,1.16,5.68,5.65,5.68,5.69,5.64,5.68,5.25
1.24,0.32,0.3,0.31,0.26,0.26,0.3,0.32,5.7,0.62,0.59,0.53,0.59,0.57,0.54,0.59,0.61,5.7,1.18,1.16,1.15,1.16,1.19,1.15,1.15,1.16,5.63,5.66,5.68,5.64,5.69,5.68,5.25
1.19,0.28,0.32,0.27,0.29,0.29,0.27,0.32,5.68,0.62,0.59,0.53,0.53,0.57,0.54,0.59,0.51,5.65,1.15,1.15,1.15,1.14,1.14,1.14,1.14,1.16,5.65,5.7,5.66,5.65,5.65,5.7,5.21
1.2,0.28,0.3,0.27,0.26,0.29,0.3,0.32,5.68,0.57,0.59,0.58,0.53,0.57,0.53,0.59,0.6,5.66,1.2,1.16,1.15,1.19,1.14,1.19,1.14,1.16,5.65,5.65,5.69,5.68,5.68,5.65,5.2
1.2,0.32,0.3,0.31,0.29,0.26,0.3,0.32,5.66,0.62,0.59,0.53,0.57,0.53,0.49,0.59,0.6,5.65,1.19,1.15,1.15,1.14,1.14,1.14,1.19,1.21,5.7,5.7,5.64,5.64,5.68,5.66,5.21
1.2,0.32,0.3,0.31,0.26,0.26,0.3,0.28,5.68,0.62,0.6,0.58,0.57,0.54,0.58,0.55,0.6,5.68,1.18,1.16,1.15,1.19,1.14,1.14,1.14,1.16,5.68,5.65,5.69,5.68,5.68,5.65,5.26
1.2,0.32,0.3,0.27,0.29,0.29,0.3,0.28,5.68,0.57,0.6,0.54,0.57,0.53,0.58,0.55,0.6,5.63,1.19,1.16,1.14,1.15,1.16,1.14,1.15,1.17,5.68,5.65,5.68,5.69,5.68,5.69,5.2
1.19,0.28,0.32,0.31,0.29,0.29,0.27,0.32,5.66,0.57,0.6,0.58,0.57,0.57,0.49,0.59,0.61,5.68,1.23,1.15,1.2,1.1,1.19,1.14,1.19,1.16,5.64,5.65,5.68,5.68,5.68,5.65,5.25
1.21,0.28,0.32,0.31,0.29,0.29,0.3,0.32,5.68,0.52,0.6,0.58,0.53,0.53,0.53,0.59,0.56,5.68,1.19,1.16,1.15,1.19,1.19,1.14,1.16,1.16,5.63,5.68,5.68,5.68,5.68,5.66,5.25
1.21,0.28,0.32,0.27,0.29,0.29,0.3,0.28,5.68,0.57,0.59,0.53,0.59,0.53,0.54,0.55,0.61,5.68,1.14,1.16,1.15,1.14,1.14,1.14,1.15,1.16,5.65,5.69,5.64,5.69,5.64,5.66,5.25
1.2,0.28,0.3,0.31,0.28,0.29,0.3,0.32,5.65,0.62,0.59,0.58,0.53,0.53,0.58,0.59,0.56,5.66,1.2,1.17,1.15,1.15,1.14,1.14,1.15,1.17,5.66,5.68,5.66,5.68,5.68,5.68,5.21
1.2,0.32,0.32,0.31,0.31,0.29,0.3,0.28,5.69,0.57,0.55,0.58,0.53,0.57,0.54,0.59,0.56,5.63,1.19,1.17,1.15,1.14,1.14,1.14,1.1,1.17,5.66,5.68,5.64,5.69,5.68,5.64,5.21
1.24,0.32,0.27,0.27,0.31,0.26,0.27,0.28,5.66,0.61,0.59,0.53,0.53,0.57,0.53,0.55,0.56,5.65,1.18,1.1,1.15,1.14,1.14,1.19,1.19,1.16,5.65,5.68,5.68,5.66,5.65,5.66,5.26
1.21,0.28,0.3,0.31,0.31,0.26,0.3,0.28,5.65,0.61,0.6,0.58,0.53,0.57,0.58,0.55,0.61,5.68,1.22,1.15,1.15,1.14,1.14,1.09,1.15,1.16,5.7,5.68,5.68,5.68,5.68,5.68,5.25
1.24,0.32,0.3,0.31,0.26,0.29,0.28,0.28,5.69,0.62,0.6,0.53,0.53,0.57,0.58,0.55,0.6,5.65,1.17,1.17,1.15,1.14,1.14,1.15,1.15,1.17,5.68,5.66,5.69,5.68,5.69,5.65,5.2
1.2,0.32,0.3,0.27,0.26,0.29,0.31,0.28,5.68,0.57,0.55,0.58,0.54,0.53,0.54,0.59,0.61,5.68,1.18,1.15,1.15,1.16,1.19,1.19,1.2,1.16,5.68,5.66,5.66,5.7,5.68,5.68,5.22
1.19,0.32,0.3,0.31,0.28,0.29,0.3,0.32,5.64,0.57,0.59,0.53,0.53,0.48,0.58,0.59,0.56,5.66,1.2,1.15,1.16,1.14,1.14,1.14,1.1,1.16,5.68,5.63,5.64,5.68,5.68,5.68,5.25
1.2,0.28,0.3,0.31,0.29,0.29,0.3,0.3,5.65,0.62,0.6,0.48,0.57,0.48,0.55,0.59,0.61,5.68,1.19,1.2,1.1,1.19,1.14,1.15,1.15,1.16,5.69,5.65,5.68,5.68,5.68,5.66,5.26
1.2,0.32,0.3,0.27,0.26,0.26,0.3,0.32,5.63,0.57,0.6,0.58,0.57,0.57,0.58,0.59,0.55,5.68,1.2,1.15,1.15,1.19,1.14,1.14,1.15,1.11,5.68,5.65,5.69,5.65,5.65,5.64,5.21
1.24,0.28,0.32,0.27,0.31,0.26,0.31,0.32,5.64,0.52,0.59,0.58,0.57,0.52,0.53,0.59,0.61,5.68,1.19,1.16,1.15,1.14,1.14,1.14,1.14,1.16,5.68,5.68,5.64,5.68,5.68,5.68,5.22
1.2,0.32,0.32,0.31,0.31,0.29,0.27,0.32,5.66,0.62,0.55,0.58,0.48,0.57,0.58,0.59,0.6,5.68,1.19,1.16,1.2,1.14,1.14,1.14,1.15,1.16,5.68,5.7,5.63,5.68,5.68,5.68,5.25
1.21,0.32,0.3,0.31,0.26,0.26,0.3,0.33,5.68,0.62,0.6,0.48,0.57,0.53,0.58,0.59,0.57,5.68,1.18,1.1,1.15,1.14,1.14,1.1,1.15,1.16,5.64,5.69,5.68,5.68,5.68,5.66,5.26
1.19,0.32,0.27,0.27,0.29,0.26,0.3,0.29,5.64,0.57,0.59,0.58,0.53,0.53,0.58,0.59,0.61,5.65,1.2,1.15,1.15,1.19,1.14,1.14,1.15,1.16,5.68,5.69,5.68,5.66,5.68,5.66,5.26
1.24,0.28,0.3,0.31,0.28,0.29,0.31,0.29,5.68,0.62,0.59,0.53,0.54,0.53,0.54,0.55,0.51,5.68,1.19,1.2,1.15,1.14,1.14,1.14,1.19,1.17,5.66,5.68,5.65,5.68,5.69,5.68,5.25
1.24,0.28,0.3,0.31,0.31,0.29,0.3,0.33,5.68,0.62,0.59,0.58,0.57,0.53,0.58,0.55,0.61,5.65,1.19,1.17,1.19,1.15,1.14,1.14,1.14,1.17,5.66,5.65,5.68,5.64,5.63,5.63,5.25
1.2,0.32,0.3,0.31,0.31,0.29,0.3,0.32,5.68,0.62,0.5,0.53,0.57,0.53,0.58,0.59,0.6,5.69,1.18,1.15,1.15,1.19,1.14,1.14,1.15,1.16,5.68,5.65,5.68,5.7,5.66,5.66,5.21
1.21,0.32,0.3,0.27,0.31,0.29,0.3,0.32,5.64,0.57,0.59,0.53,0.48,0.48,0.58,0.59,0.6,5.68,1.2,1.15,1.15,1.14,1.14,1.1,1.19,1.11,5.65,5.68,5.69,5.7,5.68,5.65,5.26
1.19,0.32,0.3,0.27,0.31,0.29,0.3,0.32,5.68,0.62,0.59,0.53,0.54,0.53,0.58,0.59,0.56,5.68,1.2,1.15,1.2,1.14,1.14,1.15,1.15,1.21,5.68,5.69,5.68,5.68,5.7,5.68,5.25
1.2,0.32,0.3,0.27,0.27,0.26,0.3,0.28,5.65,0.62,0.55,0.54,0.57,0.57,0.58,0.55,0.61,5.64,1.2,1.15,1.15,1.15,1.14,1.19,1.14,1.16,5.68,5.66,5.66,5.66,5.68,5.68,5.25
1.26,0.32,0.3,0.31,0.31,0.29,0.3,0.28,5.68,0.62,0.59,0.53,0.53,0.57,0.53,0.59,0.51,5.66,1.2,1.15,1.15,1.14,1.14,1.19,1.15,1.16,5.68,5.64,5.69,5.7,5.68,5.65,5.26
1.2,0.32,0.32,0.31,0.31,0.29,0.3,0.28,5.68,0.58,0.59,0.48,0.57,0.57,0.55,0.59,0.61,5.64,1.2,1.1,1.16,1.19,1.14,1.14,1.15,1.21,5.69,5.68,5.68,5.65,5.63,5.68,5.21
1.2,0.32,0.32,0.27,0.31,0.26,0.3,0.32,5.68,0.57,0.55,0.53,0.54,0.54,0.58,0.59,0.56,5.68,1.2,1.15,1.15,1.14,1.14,1.19,1.14,1.21,5.64,5.68,5.69,5.63,5.68,5.68,5.23
1.24,0.28,0.32,0.31,0.31,0.29,0.27,0.33,5.7,0.57,0.55,0.54,0.59,0.57,0.58,0.59,0.57,5.64,1.25,1.15,1.1,1.14,1.14,1.14,1.2,1.17,5.68,5.64,5.68,5.68,5.64,5.68,5.22
1.2,0.32,0.32,0.31,0.31,0.26,0.3,0.32,5.66,0.57,0.5,0.53,0.5,0.52,0.58,0.59,0.55,5.68,1.18,1.1,1.15,1.14,1.14,1.19,1.1,1.16,5.64,5.69,5.68,5.7,5.64,5.63,5.25
1.2,0.32,0.32,0.31,0.29,0.26,0.27,0.28,5.65,0.57,0.59,0.58,0.59,0.57,0.58,0.55,0.57,5.68,1.2,1.2,1.15,1.14,1.19,1.14,1.15,1.16,5.68,5.68,5.69,5.68,5.64,5.66,5.2
1.21,0.32,0.32,0.27,0.29,0.26,0.27,0.32,5.63,0.57,0.55,0.53,0.59,0.57,0.54,0.59,0.56,5.68,1.24,1.15,1.2,1.19,1.14,1.14,1.15,1.11,5.69,5.68,5.68,5.63,5.68,5.66,5.25
1.24,0.28,0.29,0.26,0.29,0.29,0.3,0.32,5.68,0.57,0.55,0.58,0.56,0.57,0.53,0.59,0.56,5.69,1.19,1.2,1.15,1.14,1.14,1.14,1.15,1.16,5.66,5.69,5.66,5.65,5.68,5.68,5.21
1.24,0.28,0.32,0.31,0.26,0.29,0.3,0.28,5.68,0.62,0.59,0.58,0.59,0.57,0.54,0.6,0.6,5.68,1.15,1.17,1.19,1.14,1.14,1.19,1.15,1.17,5.66,5.68,5.65,5.68,5.68,5.68,5.21
1.2,0.32,0.32,0.27,0.29,0.29,0.3,0.32,5.68,0.57,0.55,0.58,0.59,0.57,0.58,0.6,0.51,5.69,1.18,1.16,1.15,1.19,1.14,1.14,1.14,1.16,5.64,5.65,5.68,5.69,5.66,5.68,5.25
1.24,0.32,0.29,0.31,0.31,0.29,0.27,0.32,5.65,0.57,0.6,0.53,0.57,0.57,0.53,0.59,0.6,5.63,1.2,1.15,1.15,1.14,1.19,1.14,1.1,1.16,5.68,5.64,5.64,5.69,5.69,5.68,5.26
1.2,0.28,0.31,0.27,0.31,0.29,0.3,0.32,5.68,0.57,0.6,0.58,0.54,0.53,0.54,0.59,0.6,5.68,1.2,1.16,1.19,1.16,1.19,1.15,1.15,1.16,5.68,5.66,5.68,5.68,5.68,5.68,5.25
1.2,0.32,0.31,0.27,0.31,0.26,0.3,0.32,5.65,0.57,0.6,0.54,0.59,0.57,0.53,0.59,0.6,5.64,1.24,1.15,1.19,1.15,1.14,1.19,1.15,1.16,5.68,5.66,5.68,5.66,5.68,5.68,5.21
1.2,0.32,0.31,0.31,0.31,0.29,0.3,0.28,5.68,0.57,0.55,0.58,0.59,0.52,0.58,0.59,0.6,5.66,1.21,1.15,1.1,1.14,1.14,1.19,1.15,1.16,5.69,5.65,5.68,5.63,5.68,5.65,5.25
1.24,0.32,0.29,0.27,0.31,0.29,0.3,0.32,5.66,0.62,0.6,0.58,0.54,0.53,0.55,0.59,0.6,5.65,1.23,1.15,1.15,1.19,1.14,1.14,1.1,1.16,5.68,5.68,5.65,5.65,5.68,5.68,5.21
1.2,0.28,0.32,0.31,0.31,0.26,0.3,0.28,5.68,0.62,0.6,0.58,0.5,0.54,0.58,0.55,0.6,5.68,1.2,1.15,1.19,1.19,1.14,1.09,1.19,1.16,5.64,5.63,5.7,5.68,5.66,5.64,5.22
1.2,0.28,0.32,0.31,0.29,0.29,0.3,0.33,5.68,0.62,0.6,0.49,0.59,0.48,0.58,0.59,0.55,5.68,1.19,1.17,1.15,1.14,1.14,1.14,1.15,1.17,5.64,5.68,5.65,5.7,5.65,5.68,5.22
1.21,0.32,0.32,0.27,0.26,0.26,0.27,0.32,5.68,0.62,0.55,0.53,0.59,0.57,0.49,0.55,0.55,5.68,1.15,1.15,1.15,1.14,1.14,1.14,1.15,1.16,5.64,5.68,5.68,5.7,5.68,5.69,5.25
