2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.322,2.311,2.578,2.588,2.586,2.575,2.368,2.588,2.53,1.346,1.235,1.341,1.192,1.114,1.277,1.342,1.067,1.357,0.686,0.685,0.683,0.677,0.673,0.675,0.528,0.683,0.685,1.388,0.356,0.359,0.354,0.354,0.357,0.362,0.303,1.042
2.607,2.601,2.308,2.589,2.352,2.588,2.595,2.578,2.384,1.217,1.342,1.342,1.335,1.335,1.337,1.342,1.219,1.356,0.684,0.687,0.682,0.677,0.672,0.526,0.602,0.663,0.685,1.232,0.358,0.359,0.334,0.353,0.357,0.36,0.29,1.011
2.608,2.601,2.593,2.589,2.366,2.339,2.357,2.443,2.539,1.061,1.343,1.342,1.334,1.335,1.278,1.341,1.078,1.356,0.684,0.686,0.531,0.677,0.673,0.674,0.679,0.531,0.686,1.091,0.356,0.285,0.354,0.354,0.357,0.362,0.372,1.02
2.605,2.518,2.308,2.588,2.586,2.112,2.593,2.589,2.382,1.195,1.093,1.342,1.086,1.336,1.136,1.342,1.347,1.356,0.683,0.687,0.681,0.601,0.615,0.676,0.62,0.666,0.584,1.391,0.358,0.359,0.354,0.354,0.311,0.362,0.374,1.02
2.605,2.601,2.486,2.485,2.587,2.349,2.071,2.59,2.539,1.347,1.343,1.342,1.335,1.097,1.338,1.301,1.348,1.356,0.685,0.685,0.681,0.677,0.673,0.674,0.679,0.683,0.686,1.382,0.358,0.325,0.354,0.354,0.357,0.362,0.372,0.893
2.275,2.052,2.594,2.588,2.586,2.588,2.495,2.305,2.381,1.347,1.094,1.057,1.276,1.335,1.141,1.342,1.347,1.356,0.633,0.687,0.683,0.677,0.629,0.676,0.677,0.681,0.622,1.391,0.278,0.359,0.354,0.354,0.314,0.362,0.373,1.016
2.32,2.602,2.593,2.443,2.02,2.238,2.593,2.589,2.519,1.349,1.24,1.342,1.335,1.289,1.337,1.342,1.347,1.357,0.685,0.685,0.562,0.677,0.524,0.674,0.679,0.681,0.686,1.367,0.358,0.279,0.353,0.283,0.357,0.362,0.371,0.931
2.496,2.6,2.308,2.589,2.587,2.589,2.482,2.518,2.539,1.349,1.096,1.333,1.335,1.148,1.338,1.341,1.347,1.354,0.684,0.687,0.683,0.671,0.551,0.676,0.677,0.683,0.684,1.255,0.357,0.359,0.354,0.354,0.356,0.362,0.374,0.97
2.607,2.6,2.593,2.588,2.281,2.589,2.329,2.074,2.254,1.348,1.343,1.189,1.335,1.081,1.28,1.342,1.346,1.355,0.55,0.625,0.681,0.676,0.674,0.633,0.674,0.681,0.686,1.122,0.358,0.359,0.353,0.353,0.357,0.361,0.29,0.944
2.605,2.314,2.535,2.589,2.587,2.303,2.593,2.304,2.54,1.163,1.343,1.341,1.122,1.335,1.245,1.217,1.212,1.2,0.685,0.686,0.683,0.677,0.54,0.676,0.679,0.683,0.685,1.274,0.358,0.358,0.354,0.354,0.329,0.362,0.372,0.971
2.606,2.6,2.379,2.304,2.587,2.304,2.024,2.33,2.54,1.348,1.236,1.342,1.335,1.334,1.107,1.076,1.072,1.355,0.588,0.685,0.682,0.559,0.674,0.674,0.677,0.682,0.684,1.391,0.278,0.359,0.353,0.353,0.357,0.339,0.374,0.973
2.605,2.164,2.223,2.304,2.302,2.588,2.447,2.172,2.43,1.348,1.343,1.342,1.334,1.335,1.336,1.342,1.348,1.355,0.686,0.687,0.531,0.677,0.527,0.676,0.679,0.683,0.685,1.39,0.278,0.358,0.354,0.354,0.355,0.362,0.289,0.878
2.478,2.599,2.593,2.304,2.587,2.49,2.308,2.59,2.538,1.348,1.342,1.342,1.334,1.335,1.266,1.342,1.081,1.355,0.685,0.678,0.681,0.675,0.536,0.658,0.677,0.681,0.684,1.156,0.323,0.359,0.354,0.354,0.357,0.362,0.372,0.969
2.301,2.6,2.488,2.435,2.07,2.589,2.592,2.427,2.429,1.348,1.284,1.273,1.335,1.335,1.336,1.342,1.348,1.264,0.687,0.547,0.683,0.677,0.673,0.676,0.528,0.683,0.685,1.39,0.358,0.358,0.354,0.354,0.355,0.362,0.372,0.935
2.323,2.314,2.327,2.333,2.2,2.589,2.58,2.59,2.539,1.291,1.247,1.342,1.307,1.087,1.336,1.342,1.347,1.355,0.684,0.687,0.682,0.676,0.673,0.674,0.58,0.642,0.684,1.391,0.358,0.359,0.354,0.355,0.357,0.362,0.373,0.984
2.612,2.065,2.593,2.589,2.301,2.304,2.592,2.398,2.094,1.347,1.343,1.342,1.206,1.229,1.336,1.153,1.347,1.114,0.685,0.57,0.683,0.677,0.674,0.528,0.679,0.683,0.685,1.39,0.358,0.359,0.353,0.354,0.334,0.362,0.372,0.979
2.612,2.438,2.312,2.511,2.587,2.44,2.288,2.249,2.542,1.294,1.343,1.341,1.335,1.335,1.336,1.342,1.348,1.246,0.685,0.687,0.682,0.676,0.673,0.674,0.539,0.681,0.683,1.292,0.358,0.359,0.276,0.354,0.357,0.362,0.373,0.985
2.614,2.6,2.594,2.304,2.302,2.564,2.14,2.589,2.428,1.147,1.102,1.283,1.196,1.335,1.336,1.341,1.348,1.315,0.569,0.685,0.683,0.677,0.674,0.537,0.677,0.532,0.546,1.33,0.357,0.359,0.353,0.354,0.355,0.36,0.372,0.988
2.615,2.601,2.594,2.589,2.429,2.486,2.592,2.588,2.543,1.346,1.343,1.143,1.335,1.335,1.112,1.342,1.11,1.231,0.685,0.687,0.682,0.676,0.673,0.676,0.679,0.683,0.686,1.39,0.358,0.358,0.355,0.354,0.357,0.362,0.373,0.823
2.372,2.539,2.507,2.588,2.301,2.588,2.131,2.588,2.375,1.244,1.094,1.342,1.335,1.335,1.336,1.341,1.348,1.355,0.683,0.614,0.681,0.527,0.674,0.553,0.678,0.682,0.684,1.349,0.357,0.359,0.355,0.353,0.355,0.361,0.372,0.992
2.613,2.6,2.594,2.588,2.587,2.37,2.593,2.227,2.541,1.348,1.343,1.228,1.333,1.334,1.258,1.341,1.348,1.355,0.685,0.686,0.683,0.676,0.624,0.676,0.679,0.684,0.686,1.39,0.358,0.279,0.355,0.354,0.358,0.281,0.374,0.996
2.583,2.494,2.308,2.267,2.587,2.588,2.593,2.589,2.255,1.241,1.082,1.341,1.335,1.335,1.337,1.341,1.348,1.346,0.684,0.686,0.682,0.677,0.674,0.568,0.677,0.681,0.623,1.388,0.358,0.359,0.354,0.288,0.355,0.36,0.373,1.0
2.12,2.574,2.425,2.59,2.373,2.336,2.593,2.587,2.539,1.348,1.22,1.342,1.047,1.335,1.12,1.325,1.348,1.216,0.684,0.686,0.683,0.67,0.673,0.676,0.679,0.684,0.686,1.388,0.358,0.359,0.354,0.354,0.358,0.362,0.374,0.781
2.225,2.459,2.594,2.588,2.221,2.302,2.593,2.588,2.54,1.348,1.343,1.307,1.196,1.334,1.336,1.187,1.131,1.355,0.685,0.685,0.681,0.676,0.674,0.581,0.678,0.682,0.684,1.387,0.358,0.358,0.355,0.353,0.357,0.36,0.373,1.006
2.046,2.313,2.439,2.589,2.532,2.021,2.356,2.587,2.255,1.304,1.343,1.34,1.334,1.335,1.119,1.34,1.348,1.356,0.642,0.687,0.683,0.677,0.673,0.676,0.679,0.532,0.685,1.389,0.293,0.279,0.354,0.354,0.357,0.362,0.374,1.012
2.608,2.601,2.566,2.303,2.586,2.588,2.593,2.054,2.08,1.348,1.051,1.312,1.167,1.115,1.337,1.342,1.258,1.356,0.685,0.685,0.595,0.676,0.673,0.674,0.677,0.623,0.685,1.386,0.358,0.358,0.355,0.353,0.28,0.362,0.374,1.025
2.608,2.6,2.594,2.302,2.049,2.587,2.593,2.589,2.255,1.348,1.343,1.341,1.335,1.335,1.336,1.342,1.347,1.355,0.606,0.685,0.683,0.677,0.656,0.676,0.547,0.531,0.685,1.216,0.357,0.361,0.356,0.275,0.358,0.362,0.374,1.024
2.608,2.6,2.594,2.588,2.587,2.134,2.307,2.303,2.541,1.348,1.344,1.342,1.215,1.334,1.337,1.342,1.347,1.355,0.685,0.687,0.598,0.546,0.673,0.674,0.679,0.681,0.685,1.39,0.358,0.361,0.356,0.319,0.355,0.362,0.29,1.025
2.608,2.316,2.593,2.543,2.568,2.588,2.227,2.588,2.306,1.346,1.172,1.342,1.299,1.334,1.337,1.342,1.347,1.262,0.568,0.685,0.683,0.677,0.665,0.676,0.677,0.681,0.685,1.39,0.358,0.36,0.356,0.354,0.357,0.281,0.374,1.022
2.563,2.049,2.308,2.303,2.587,2.403,2.529,2.309,2.255,1.347,1.343,1.342,1.335,1.334,1.336,1.342,1.348,1.355,0.685,0.687,0.682,0.676,0.672,0.674,0.679,0.683,0.685,1.136,0.358,0.361,0.354,0.353,0.277,0.362,0.374,1.021
2.608,2.449,2.561,2.589,2.587,2.541,2.307,2.589,2.539,1.348,1.343,1.342,1.335,1.335,1.336,1.306,1.347,1.355,0.685,0.685,0.683,0.677,0.674,0.676,0.678,0.681,0.685,1.39,0.358,0.286,0.356,0.354,0.357,0.36,0.29,1.019
2.323,2.563,2.459,2.334,2.425,2.303,2.064,2.588,2.538,1.348,1.343,1.342,1.335,1.291,1.089,1.342,1.348,1.355,0.565,0.687,0.621,0.562,0.672,0.674,0.528,0.531,0.687,1.388,0.356,0.361,0.353,0.354,0.357,0.281,0.373,0.857
2.608,2.6,2.577,2.588,2.587,2.348,2.205,2.153,2.537,1.308,1.343,1.342,1.292,1.154,1.336,1.303,1.112,1.291,0.685,0.685,0.683,0.677,0.675,0.674,0.633,0.681,0.681,1.211,0.358,0.359,0.354,0.354,0.357,0.336,0.373,1.018
2.607,2.405,2.124,2.588,2.302,2.588,2.307,2.304,2.538,1.348,1.118,1.342,1.335,1.335,1.337,1.34,1.348,1.357,0.685,0.687,0.618,0.577,0.673,0.525,0.679,0.684,0.552,1.389,0.357,0.361,0.353,0.354,0.357,0.362,0.29,0.926
2.605,2.599,2.309,2.462,2.587,2.257,2.593,2.59,2.539,1.348,1.116,1.341,1.334,1.335,1.247,1.087,1.348,1.357,0.686,0.685,0.683,0.677,0.675,0.541,0.658,0.682,0.687,1.215,0.358,0.359,0.354,0.354,0.357,0.36,0.29,1.014
2.606,2.599,2.594,2.553,2.587,2.398,2.307,2.579,2.538,1.348,1.343,1.301,1.335,1.308,1.338,1.341,1.271,1.357,0.685,0.687,0.609,0.676,0.673,0.676,0.679,0.684,0.684,1.388,0.358,0.359,0.354,0.354,0.357,0.362,0.29,0.801
2.17,2.266,2.594,2.394,2.486,2.588,2.592,2.435,2.54,1.297,1.096,1.341,1.055,1.335,1.132,1.342,1.128,1.356,0.686,0.685,0.682,0.677,0.675,0.674,0.678,0.667,0.686,1.389,0.358,0.359,0.354,0.354,0.357,0.343,0.355,1.009
2.604,2.599,2.303,2.588,2.587,2.588,2.593,2.576,2.256,1.149,1.229,1.342,1.335,1.304,1.103,1.148,1.348,1.357,0.683,0.687,0.68,0.676,0.673,0.676,0.677,0.681,0.684,1.388,0.358,0.359,0.354,0.354,0.357,0.362,0.373,1.006
2.386,2.599,2.595,2.071,2.42,2.589,2.46,2.461,2.542,1.345,1.075,1.342,1.071,1.335,1.338,1.295,1.348,1.356,0.685,0.661,0.682,0.677,0.675,0.637,0.679,0.683,0.687,1.387,0.357,0.359,0.354,0.353,0.355,0.361,0.372,1.002
2.491,2.599,2.246,2.479,2.301,2.588,2.027,2.59,2.257,1.135,1.342,1.342,1.335,1.335,1.273,1.342,1.273,1.355,0.686,0.685,0.593,0.675,0.566,0.526,0.585,0.682,0.638,1.363,0.358,0.358,0.354,0.354,0.357,0.362,0.373,0.825
2.599,2.15,2.308,2.31,2.587,2.545,2.453,2.424,2.496,1.344,1.342,1.342,1.091,1.157,1.337,1.342,1.346,1.355,0.684,0.684,0.682,0.677,0.524,0.674,0.679,0.684,0.534,1.217,0.338,0.359,0.353,0.29,0.357,0.362,0.324,0.987
2.428,2.544,2.42,2.589,2.573,2.118,2.309,2.589,2.448,1.344,1.343,1.342,1.25,1.335,1.337,1.147,1.347,1.189,0.685,0.684,0.68,0.676,0.673,0.676,0.677,0.683,0.684,1.387,0.358,0.351,0.354,0.354,0.278,0.362,0.373,0.867
2.608,2.314,2.022,2.59,2.588,2.55,2.592,2.305,2.495,1.344,1.343,1.155,1.117,1.155,1.337,1.288,1.348,1.339,0.684,0.686,0.53,0.677,0.666,0.674,0.679,0.684,0.552,1.387,0.358,0.359,0.322,0.353,0.357,0.362,0.306,0.989
2.608,2.315,2.309,2.303,2.586,2.481,2.592,2.265,2.54,1.115,1.343,1.295,1.335,1.083,1.338,1.34,1.295,1.355,0.685,0.684,0.681,0.676,0.524,0.676,0.677,0.683,0.686,1.358,0.358,0.359,0.354,0.354,0.357,0.36,0.373,0.988
2.608,2.315,2.594,2.496,2.301,2.588,2.593,2.402,2.54,1.346,1.343,1.34,1.334,1.335,1.338,1.342,1.348,1.068,0.673,0.685,0.682,0.677,0.546,0.601,0.679,0.684,0.633,1.388,0.358,0.359,0.354,0.32,0.357,0.362,0.373,0.987
2.321,2.404,2.383,2.589,2.301,2.302,2.593,2.537,2.541,1.345,1.175,1.298,1.335,1.335,1.124,1.238,1.299,1.218,0.684,0.684,0.573,0.676,0.674,0.526,0.678,0.664,0.685,1.387,0.357,0.359,0.354,0.354,0.357,0.36,0.373,0.985
2.608,2.6,2.387,2.588,2.587,2.27,2.429,2.388,2.54,1.346,1.343,1.342,1.335,1.335,1.337,1.094,1.348,1.355,0.685,0.686,0.682,0.677,0.673,0.611,0.678,0.683,0.684,1.388,0.358,0.35,0.355,0.335,0.357,0.362,0.373,0.994
2.51,2.6,2.594,2.589,2.504,2.408,2.327,2.24,2.439,1.095,1.343,1.342,1.287,1.286,1.338,1.152,1.348,1.355,0.58,0.684,0.68,0.676,0.674,0.676,0.679,0.684,0.685,1.361,0.357,0.359,0.355,0.354,0.357,0.362,0.373,1.002
2.32,2.43,2.594,2.422,2.301,2.268,2.593,2.375,2.506,1.346,1.341,1.154,1.334,1.335,1.338,1.342,1.348,1.355,0.685,0.687,0.682,0.677,0.612,0.675,0.581,0.683,0.644,1.388,0.358,0.314,0.356,0.354,0.357,0.362,0.29,0.931
2.604,2.314,2.299,2.551,2.587,2.129,2.571,2.37,2.543,1.347,1.343,1.297,1.335,1.336,1.337,1.248,1.078,1.266,0.683,0.685,0.681,0.673,0.524,0.676,0.528,0.684,0.685,1.388,0.358,0.359,0.354,0.354,0.277,0.362,0.372,0.818
2.605,2.599,2.141,2.589,2.587,2.587,2.428,2.302,2.542,1.347,1.336,1.342,1.162,1.131,1.337,1.341,1.178,1.355,0.685,0.687,0.682,0.676,0.612,0.57,0.618,0.597,0.536,1.388,0.358,0.279,0.355,0.354,0.357,0.36,0.372,1.012
2.606,2.181,2.593,2.371,2.586,2.588,2.593,2.59,2.542,1.347,1.343,1.342,1.335,1.106,1.138,1.342,1.348,1.3,0.684,0.624,0.68,0.677,0.674,0.676,0.679,0.684,0.684,1.388,0.358,0.359,0.354,0.354,0.357,0.362,0.371,1.013
2.608,2.599,2.396,2.59,2.309,2.289,2.593,2.589,2.542,1.348,1.341,1.342,1.335,1.336,1.338,1.097,1.348,1.355,0.685,0.687,0.68,0.553,0.641,0.674,0.677,0.631,0.685,1.319,0.358,0.359,0.354,0.354,0.356,0.362,0.372,1.017
2.608,2.6,2.373,2.184,2.16,2.588,2.306,2.473,2.385,1.066,1.343,1.342,1.335,1.335,1.337,1.342,1.064,1.332,0.684,0.645,0.536,0.677,0.674,0.676,0.679,0.684,0.684,1.388,0.358,0.329,0.354,0.353,0.357,0.362,0.371,1.015
2.382,2.512,2.596,2.589,2.586,2.579,2.593,2.57,2.248,1.194,1.343,1.342,1.175,1.106,1.337,1.341,1.219,1.356,0.685,0.687,0.68,0.676,0.673,0.674,0.679,0.57,0.685,1.388,0.311,0.359,0.354,0.275,0.355,0.363,0.372,0.976
2.493,2.056,2.483,2.588,2.587,2.304,2.593,2.445,2.542,1.061,1.343,1.341,1.335,1.336,1.338,1.341,1.348,1.07,0.546,0.685,0.539,0.677,0.673,0.676,0.677,0.683,0.684,1.388,0.359,0.359,0.354,0.353,0.357,0.31,0.372,1.007
2.321,2.602,2.595,2.558,2.587,2.564,2.42,2.59,2.543,1.19,1.321,1.122,1.182,1.336,1.337,1.341,1.347,1.357,0.666,0.539,0.68,0.676,0.674,0.674,0.679,0.681,0.685,1.387,0.358,0.359,0.354,0.354,0.357,0.363,0.372,1.004
2.608,2.602,2.448,2.588,2.587,2.589,2.593,2.59,2.542,1.347,1.343,1.34,1.329,1.335,1.337,1.17,1.108,1.076,0.685,0.687,0.68,0.677,0.574,0.676,0.59,0.683,0.684,1.388,0.278,0.359,0.354,0.353,0.357,0.363,0.372,0.997
2.323,2.601,2.594,2.588,2.586,2.556,2.592,2.59,2.543,1.347,1.309,1.117,1.335,1.095,1.254,1.342,1.347,1.357,0.583,0.685,0.682,0.676,0.674,0.674,0.679,0.683,0.685,1.388,0.359,0.358,0.353,0.355,0.278,0.282,0.372,1.0
2.608,2.602,2.595,2.303,2.587,2.589,2.592,2.507,2.257,1.347,1.343,1.34,1.335,1.335,1.107,1.342,1.348,1.355,0.685,0.686,0.681,0.677,0.673,0.676,0.677,0.55,0.665,1.388,0.285,0.359,0.354,0.325,0.277,0.363,0.372,1.0
2.608,2.037,2.594,2.588,2.587,2.588,2.593,2.228,2.54,1.145,1.295,1.109,1.335,1.335,1.244,1.342,1.348,1.234,0.684,0.685,0.683,0.676,0.674,0.674,0.679,0.531,0.534,1.168,0.359,0.358,0.353,0.354,0.357,0.361,0.37,0.968
2.606,2.149,2.594,2.067,2.587,2.588,2.593,2.59,2.429,1.347,1.149,1.245,1.059,1.335,1.336,1.342,1.163,1.097,0.685,0.686,0.656,0.677,0.673,0.674,0.677,0.634,0.686,1.389,0.357,0.279,0.354,0.353,0.357,0.363,0.372,0.998
2.572,2.601,2.407,2.588,2.3,2.588,2.593,2.304,2.506,1.347,1.1,1.289,1.335,1.336,1.236,1.239,1.348,1.243,0.684,0.685,0.683,0.676,0.674,0.676,0.677,0.683,0.684,1.388,0.358,0.359,0.354,0.355,0.343,0.362,0.347,1.0
2.451,2.6,2.043,2.589,2.587,2.368,2.593,2.052,2.539,1.347,1.343,1.235,1.335,1.335,1.337,1.34,1.348,1.104,0.685,0.687,0.682,0.677,0.673,0.675,0.679,0.602,0.686,1.388,0.355,0.358,0.356,0.353,0.357,0.362,0.289,0.894
2.604,2.6,2.595,2.589,2.194,2.588,2.082,2.59,2.539,1.122,1.343,1.342,1.335,1.336,1.337,1.238,1.347,1.355,0.674,0.685,0.683,0.675,0.673,0.676,0.678,0.683,0.572,1.388,0.358,0.359,0.355,0.354,0.356,0.363,0.372,0.784
2.605,2.6,2.595,2.304,2.554,2.302,2.308,2.59,2.539,1.266,1.344,1.341,1.304,1.335,1.337,1.286,1.347,1.355,0.547,0.685,0.568,0.527,0.674,0.667,0.679,0.682,0.685,1.387,0.358,0.308,0.335,0.353,0.357,0.361,0.372,0.833
2.604,2.149,2.595,2.589,2.301,2.198,2.593,2.59,2.201,1.346,1.343,1.282,1.335,1.301,1.224,1.34,1.348,1.355,0.533,0.687,0.531,0.676,0.673,0.675,0.57,0.683,0.684,1.388,0.357,0.359,0.276,0.355,0.355,0.363,0.372,1.004
