2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.605,2.6,2.593,2.571,2.585,2.304,2.489,2.592,2.541,1.346,1.343,1.246,1.335,1.213,1.336,1.34,1.347,1.355,0.642,0.685,0.682,0.677,0.674,0.671,0.679,0.681,0.686,1.388,0.358,0.359,0.354,0.275,0.278,0.36,0.371,0.783
2.098,2.314,2.308,2.305,2.459,2.588,2.592,2.444,2.188,1.346,1.343,1.341,1.228,1.335,1.336,1.34,1.304,1.14,0.685,0.686,0.683,0.676,0.673,0.669,0.677,0.683,0.684,1.388,0.323,0.359,0.355,0.355,0.355,0.363,0.373,1.008
2.478,2.494,2.308,2.589,2.3,2.308,2.192,2.286,2.541,1.346,1.112,1.253,1.335,1.207,1.336,1.34,1.348,1.276,0.684,0.685,0.682,0.547,0.674,0.676,0.679,0.681,0.685,1.151,0.358,0.359,0.354,0.354,0.357,0.363,0.372,1.009
2.323,2.6,2.338,2.59,2.437,2.44,2.331,2.47,2.541,1.347,1.343,1.338,1.233,1.061,1.337,1.221,1.348,1.285,0.685,0.687,0.683,0.677,0.673,0.539,0.603,0.681,0.684,1.302,0.358,0.358,0.355,0.354,0.357,0.363,0.372,1.008
2.093,2.6,2.593,2.511,2.585,2.589,2.187,2.305,2.539,1.347,1.343,1.2,1.087,1.204,1.338,1.077,1.348,1.355,0.684,0.685,0.682,0.567,0.674,0.676,0.679,0.683,0.685,1.17,0.358,0.359,0.355,0.354,0.358,0.363,0.372,0.84
2.472,2.602,2.595,2.356,2.585,2.588,2.306,2.486,2.54,1.087,1.343,1.341,1.335,1.336,1.338,1.342,1.348,1.357,0.685,0.687,0.683,0.677,0.524,0.675,0.678,0.682,0.684,1.321,0.358,0.359,0.354,0.354,0.358,0.361,0.372,1.012
2.566,2.6,2.308,2.302,2.296,2.589,2.419,2.353,2.538,1.224,1.343,1.213,1.335,1.336,1.338,1.342,1.348,1.356,0.677,0.685,0.68,0.676,0.673,0.676,0.679,0.683,0.685,1.187,0.305,0.359,0.355,0.354,0.358,0.362,0.372,0.9
2.609,2.6,2.284,2.049,2.437,2.304,2.593,2.382,2.131,1.347,1.342,1.342,1.144,1.326,1.336,1.213,1.321,1.32,0.684,0.685,0.682,0.677,0.674,0.642,0.678,0.681,0.684,1.388,0.358,0.359,0.355,0.354,0.358,0.362,0.371,1.01
2.608,2.315,2.594,2.589,2.587,2.543,2.593,2.588,2.538,1.347,1.343,1.341,1.335,1.335,1.336,1.342,1.225,1.356,0.685,0.687,0.681,0.676,0.673,0.676,0.528,0.683,0.542,1.388,0.358,0.358,0.355,0.354,0.357,0.362,0.372,1.012
2.566,2.6,2.594,2.303,2.151,2.109,2.592,2.588,2.537,1.347,1.269,1.342,1.336,1.051,1.336,1.207,1.348,1.355,0.684,0.685,0.682,0.677,0.674,0.675,0.561,0.682,0.685,1.365,0.358,0.359,0.355,0.353,0.358,0.362,0.334,1.012
2.606,2.562,2.593,2.302,2.576,2.303,2.593,2.588,2.538,1.199,1.127,1.34,1.335,1.335,1.08,1.059,1.347,1.357,0.685,0.686,0.68,0.676,0.673,0.676,0.679,0.683,0.66,1.238,0.358,0.356,0.354,0.354,0.315,0.282,0.372,1.014
2.439,2.314,2.594,2.589,2.147,2.589,2.593,2.588,2.538,1.345,1.343,1.311,1.336,1.335,1.336,1.34,1.347,1.336,0.684,0.685,0.683,0.677,0.524,0.654,0.658,0.573,0.685,1.388,0.358,0.361,0.355,0.353,0.358,0.362,0.354,1.012
2.604,2.219,2.594,2.589,2.587,2.589,2.593,2.414,2.539,1.347,1.342,1.34,1.335,1.335,1.337,1.339,1.348,1.355,0.533,0.687,0.681,0.626,0.673,0.676,0.679,0.683,0.576,1.388,0.358,0.36,0.355,0.354,0.344,0.36,0.372,0.801
2.093,2.6,2.468,2.589,2.587,2.515,2.275,2.315,2.54,1.347,1.277,1.34,1.174,1.333,1.337,1.191,1.348,1.356,0.666,0.685,0.683,0.677,0.673,0.65,0.678,0.682,0.686,1.142,0.356,0.359,0.355,0.353,0.358,0.362,0.372,1.014
2.438,2.601,2.307,2.589,2.586,2.589,2.308,2.59,2.235,1.347,1.343,1.34,1.335,1.335,1.066,1.055,1.347,1.216,0.684,0.687,0.593,0.676,0.674,0.676,0.528,0.683,0.684,1.387,0.358,0.36,0.276,0.354,0.358,0.362,0.372,1.017
2.283,2.601,2.594,2.589,2.397,2.589,2.593,2.287,2.093,1.347,1.343,1.34,1.193,1.334,1.206,1.341,1.348,1.355,0.685,0.629,0.683,0.677,0.673,0.675,0.678,0.682,0.686,1.388,0.358,0.337,0.354,0.354,0.358,0.362,0.372,1.021
2.378,2.316,2.568,2.303,2.587,2.589,2.593,2.304,2.541,1.347,1.343,1.34,1.335,1.335,1.064,1.34,1.348,1.183,0.684,0.534,0.681,0.676,0.674,0.676,0.678,0.54,0.608,1.388,0.358,0.361,0.355,0.354,0.358,0.362,0.301,1.019
2.602,2.317,2.405,2.59,2.089,2.302,2.592,2.548,2.543,1.348,1.343,1.069,1.172,1.334,1.337,1.342,1.348,1.323,0.685,0.642,0.683,0.678,0.599,0.674,0.678,0.683,0.685,1.387,0.358,0.361,0.355,0.354,0.358,0.362,0.372,0.972
2.347,2.32,2.365,2.59,2.586,2.587,2.307,2.305,2.517,1.175,1.343,1.208,1.311,1.335,1.336,1.34,1.348,1.355,0.611,0.685,0.682,0.676,0.674,0.676,0.532,0.566,0.684,1.387,0.356,0.361,0.355,0.354,0.358,0.362,0.371,0.905
2.602,2.601,2.593,2.498,2.586,2.337,2.258,2.516,2.374,1.348,1.342,1.34,1.336,1.048,1.338,1.341,1.176,1.355,0.685,0.655,0.683,0.677,0.673,0.639,0.679,0.683,0.685,1.387,0.358,0.361,0.355,0.354,0.357,0.36,0.372,0.98
2.602,2.601,2.594,2.589,2.587,2.588,2.592,2.306,2.544,1.348,1.343,1.206,1.298,1.335,1.338,1.341,1.323,1.355,0.683,0.686,0.66,0.676,0.674,0.676,0.677,0.681,0.684,1.084,0.356,0.359,0.354,0.354,0.357,0.362,0.363,0.98
2.604,2.6,2.309,2.589,2.587,2.588,2.25,2.591,2.543,1.078,1.343,1.066,1.225,1.327,1.205,1.162,1.347,1.355,0.684,0.687,0.682,0.677,0.531,0.674,0.679,0.683,0.685,1.249,0.278,0.361,0.355,0.354,0.357,0.348,0.372,0.979
2.603,2.179,2.594,2.589,2.587,2.588,2.307,2.591,2.258,1.348,1.343,1.211,1.335,1.335,1.337,1.34,1.347,1.355,0.686,0.685,0.683,0.661,0.673,0.676,0.678,0.681,0.684,1.124,0.358,0.358,0.354,0.354,0.357,0.362,0.289,0.833
2.32,2.599,2.594,2.429,2.587,2.302,2.249,2.451,2.083,1.307,1.343,1.342,1.335,1.328,1.338,1.341,1.348,1.135,0.685,0.534,0.553,0.677,0.674,0.55,0.679,0.683,0.685,1.389,0.358,0.359,0.355,0.354,0.277,0.362,0.372,0.979
2.605,2.599,2.593,2.588,2.587,2.589,2.594,2.591,2.228,1.348,1.343,1.342,1.335,1.335,1.045,1.281,1.346,1.132,0.687,0.685,0.683,0.676,0.572,0.676,0.559,0.682,0.684,1.388,0.358,0.359,0.355,0.353,0.357,0.362,0.372,0.903
2.396,2.504,2.593,2.393,2.587,2.579,2.593,2.591,2.544,1.347,1.343,1.076,1.335,1.051,1.336,1.341,1.207,1.143,0.613,0.687,0.682,0.676,0.674,0.674,0.679,0.53,0.684,1.153,0.356,0.359,0.355,0.355,0.357,0.362,0.292,0.792
2.608,2.329,2.594,2.588,2.12,2.464,2.308,2.265,2.521,1.148,1.343,1.228,1.335,1.335,1.046,1.341,1.348,1.298,0.686,0.685,0.683,0.677,0.609,0.674,0.571,0.681,0.685,1.388,0.358,0.359,0.355,0.353,0.357,0.36,0.373,0.978
2.301,2.6,2.536,2.303,2.543,2.588,2.525,2.305,2.542,1.103,1.343,1.091,1.335,1.048,1.336,1.341,1.226,1.243,0.685,0.687,0.681,0.676,0.674,0.676,0.679,0.544,0.684,1.388,0.356,0.358,0.303,0.355,0.286,0.281,0.372,1.009
2.394,2.6,2.309,2.589,2.301,2.588,2.594,2.536,2.538,1.347,1.211,1.341,1.336,1.186,1.329,1.143,1.347,1.324,0.686,0.618,0.683,0.677,0.673,0.538,0.579,0.683,0.685,1.388,0.358,0.359,0.355,0.281,0.357,0.355,0.373,1.011
2.432,2.601,2.385,2.303,2.587,2.588,2.308,2.59,2.542,1.346,1.343,1.341,1.134,1.334,1.337,1.089,1.347,1.188,0.686,0.687,0.681,0.676,0.674,0.676,0.679,0.682,0.594,1.385,0.358,0.279,0.354,0.354,0.309,0.362,0.337,1.009
2.607,2.315,2.594,2.589,2.301,2.588,2.594,2.589,2.544,1.347,1.343,1.261,1.274,1.18,1.336,1.156,1.348,1.357,0.684,0.64,0.683,0.677,0.666,0.551,0.678,0.683,0.685,1.387,0.358,0.359,0.355,0.353,0.357,0.362,0.373,1.009
2.105,2.315,2.188,2.295,2.588,2.302,2.593,2.303,2.258,1.346,1.058,1.342,1.13,1.321,1.189,1.08,1.263,1.205,0.685,0.687,0.68,0.676,0.673,0.676,0.679,0.682,0.684,1.114,0.358,0.359,0.355,0.354,0.355,0.362,0.363,0.795
2.492,2.316,2.593,2.303,2.587,2.302,2.593,2.589,2.275,1.345,1.343,1.341,1.336,1.336,1.337,1.217,1.348,1.356,0.684,0.685,0.682,0.677,0.674,0.674,0.678,0.683,0.685,1.387,0.306,0.358,0.354,0.353,0.357,0.362,0.373,1.005
2.605,2.265,2.594,2.555,2.482,2.303,2.506,2.589,2.543,1.345,1.341,1.341,1.335,1.335,1.177,1.34,1.347,1.23,0.685,0.534,0.68,0.676,0.673,0.676,0.679,0.681,0.599,1.139,0.358,0.359,0.355,0.354,0.33,0.32,0.29,1.006
2.507,2.53,2.594,2.304,2.587,2.59,2.083,2.303,2.543,1.346,1.343,1.287,1.335,1.169,1.312,1.34,1.348,1.098,0.656,0.685,0.682,0.677,0.674,0.674,0.597,0.683,0.685,1.387,0.356,0.305,0.354,0.303,0.357,0.362,0.375,0.934
2.512,2.207,2.593,2.363,2.586,2.304,2.227,2.589,2.259,1.345,1.343,1.342,1.258,1.335,1.336,1.34,1.347,1.357,0.684,0.665,0.565,0.676,0.613,0.676,0.679,0.682,0.643,1.388,0.358,0.359,0.355,0.355,0.355,0.361,0.373,1.003
2.321,2.04,2.36,2.589,2.586,2.325,2.594,2.589,2.543,1.153,1.214,1.341,1.335,1.176,1.336,1.34,1.348,1.122,0.685,0.687,0.682,0.677,0.524,0.579,0.678,0.683,0.685,1.388,0.358,0.28,0.355,0.353,0.357,0.281,0.292,0.98
2.416,2.601,2.594,2.497,2.436,2.459,2.594,2.59,2.544,1.292,1.309,1.341,1.335,1.318,1.159,1.332,1.348,1.276,0.683,0.685,0.681,0.676,0.673,0.676,0.679,0.681,0.672,1.388,0.358,0.359,0.354,0.275,0.356,0.362,0.373,0.86
2.407,2.554,2.593,2.051,2.282,2.589,2.078,2.59,2.296,1.344,1.343,1.327,1.335,1.335,1.297,1.34,1.348,1.356,0.685,0.687,0.681,0.677,0.675,0.675,0.677,0.683,0.544,1.388,0.358,0.359,0.355,0.353,0.358,0.362,0.372,1.0
2.327,2.599,2.593,2.591,2.414,2.44,2.593,2.304,2.438,1.299,1.342,1.341,1.335,1.311,1.336,1.34,1.061,1.357,0.635,0.685,0.682,0.676,0.673,0.676,0.679,0.681,0.685,1.237,0.358,0.359,0.333,0.354,0.331,0.362,0.373,0.886
2.424,2.51,2.593,2.293,2.302,2.589,2.532,2.161,2.544,1.344,1.148,1.058,1.27,1.336,1.336,1.166,1.21,1.356,0.685,0.687,0.67,0.677,0.675,0.622,0.678,0.681,0.569,1.387,0.358,0.279,0.355,0.353,0.358,0.361,0.298,0.96
2.52,2.316,2.594,2.415,2.302,2.135,2.591,2.305,2.257,1.346,1.292,1.341,1.133,1.335,1.147,1.34,1.347,1.306,0.686,0.614,0.683,0.676,0.673,0.676,0.679,0.684,0.687,1.388,0.29,0.358,0.276,0.354,0.33,0.362,0.373,0.96
2.044,2.315,2.593,2.538,2.586,2.557,2.593,2.59,2.541,1.345,1.343,1.341,1.335,1.335,1.281,1.34,1.348,1.237,0.685,0.687,0.547,0.677,0.674,0.646,0.677,0.577,0.684,1.388,0.358,0.359,0.355,0.353,0.358,0.335,0.373,0.96
2.605,2.601,2.581,2.374,2.357,2.116,2.209,2.278,2.433,1.347,1.094,1.341,1.141,1.303,1.337,1.341,1.348,1.355,0.687,0.64,0.683,0.676,0.652,0.676,0.679,0.684,0.534,1.388,0.312,0.358,0.276,0.354,0.34,0.362,0.374,0.961
2.518,2.316,2.594,2.589,2.587,2.251,2.35,2.591,2.008,1.346,1.236,1.093,1.335,1.336,1.277,1.341,1.259,1.183,0.685,0.687,0.682,0.678,0.674,0.676,0.677,0.682,0.685,1.15,0.358,0.36,0.354,0.353,0.358,0.362,0.373,0.962
2.042,2.601,2.594,2.59,2.325,2.099,2.594,2.591,2.255,1.277,1.092,1.341,1.141,1.336,1.338,1.341,1.348,1.076,0.686,0.685,0.683,0.651,0.673,0.547,0.679,0.684,0.687,1.313,0.357,0.357,0.355,0.354,0.348,0.362,0.368,0.766
2.606,2.602,2.524,2.304,2.586,2.302,2.595,2.303,2.507,1.132,1.233,1.341,1.286,1.335,1.338,1.34,1.347,1.356,0.636,0.686,0.649,0.678,0.541,0.676,0.678,0.648,0.684,1.388,0.278,0.359,0.355,0.354,0.358,0.362,0.29,0.962
2.606,2.464,2.204,2.294,2.586,2.588,2.471,2.589,2.146,1.347,1.083,1.341,1.335,1.084,1.139,1.34,1.347,1.355,0.687,0.687,0.531,0.678,0.674,0.674,0.672,0.684,0.687,1.388,0.358,0.279,0.355,0.354,0.347,0.36,0.372,0.975
2.604,2.6,2.594,2.131,2.41,2.588,2.592,2.589,2.541,1.127,1.343,1.341,1.335,1.335,1.338,1.284,1.118,1.355,0.685,0.685,0.682,0.656,0.673,0.676,0.679,0.684,0.684,1.39,0.358,0.359,0.355,0.355,0.358,0.362,0.373,0.999
2.608,2.314,2.436,2.59,2.539,2.516,2.178,2.493,2.255,1.346,1.308,1.341,1.335,1.335,1.338,1.34,1.347,1.356,0.685,0.686,0.683,0.678,0.674,0.674,0.678,0.682,0.687,1.387,0.358,0.359,0.354,0.355,0.357,0.335,0.354,0.868
2.606,2.599,2.309,2.589,2.095,2.589,2.593,2.34,2.295,1.27,1.165,1.341,1.335,1.335,1.337,1.342,1.348,1.357,0.686,0.595,0.682,0.677,0.673,0.676,0.679,0.684,0.684,1.388,0.357,0.358,0.356,0.276,0.358,0.362,0.373,1.003
2.607,2.366,2.593,2.589,2.3,2.358,2.593,2.589,2.541,1.27,1.079,1.341,1.149,1.335,1.223,1.342,1.348,1.357,0.685,0.687,0.683,0.679,0.675,0.674,0.552,0.683,0.543,1.388,0.358,0.359,0.355,0.354,0.357,0.362,0.373,1.003
2.606,2.599,2.308,2.59,2.524,2.215,2.581,2.589,2.541,1.347,1.343,1.341,1.335,1.336,1.338,1.342,1.348,1.357,0.686,0.685,0.576,0.598,0.585,0.676,0.679,0.684,0.686,1.388,0.32,0.295,0.355,0.354,0.358,0.362,0.373,1.005
2.608,2.6,2.534,2.477,2.302,2.529,2.307,2.59,2.255,1.345,1.307,1.34,1.054,1.282,1.338,1.342,1.222,1.131,0.685,0.686,0.683,0.678,0.674,0.674,0.564,0.682,0.559,1.153,0.358,0.359,0.355,0.354,0.341,0.362,0.29,1.006
2.321,2.436,2.593,2.569,2.586,2.494,2.593,2.587,2.54,1.345,1.342,1.2,1.335,1.335,1.282,1.342,1.348,1.29,0.685,0.685,0.682,0.625,0.564,0.676,0.679,0.684,0.685,1.309,0.358,0.328,0.354,0.355,0.358,0.361,0.373,0.904
2.608,2.553,2.596,2.59,2.587,2.588,2.124,2.589,2.541,1.276,1.082,1.315,1.07,1.094,1.337,1.21,1.348,1.165,0.684,0.685,0.683,0.678,0.675,0.674,0.678,0.647,0.685,1.387,0.358,0.359,0.355,0.354,0.357,0.362,0.373,1.005
2.322,2.097,2.172,2.589,2.314,2.589,2.592,2.571,2.542,1.346,1.343,1.162,1.155,1.335,1.336,1.341,1.346,1.356,0.533,0.687,0.591,0.677,0.653,0.674,0.679,0.684,0.685,1.342,0.358,0.358,0.354,0.354,0.358,0.36,0.372,1.007
2.379,2.599,2.595,2.472,2.587,2.588,2.4,2.304,2.54,1.347,1.343,1.341,1.335,1.335,1.337,1.179,1.347,1.358,0.685,0.556,0.683,0.678,0.675,0.676,0.677,0.683,0.6,1.214,0.284,0.359,0.355,0.355,0.358,0.362,0.373,0.852
2.189,2.041,2.594,2.304,2.569,2.486,2.593,2.56,2.542,1.262,1.214,1.244,1.335,1.336,1.337,1.341,1.348,1.066,0.684,0.687,0.6,0.677,0.53,0.674,0.679,0.683,0.533,1.087,0.358,0.357,0.354,0.354,0.358,0.349,0.336,1.008
2.281,2.6,2.269,2.382,2.587,2.588,2.099,2.59,2.256,1.282,1.343,1.341,1.335,1.335,1.251,1.342,1.18,1.222,0.685,0.685,0.683,0.527,0.673,0.526,0.61,0.684,0.591,1.387,0.356,0.359,0.354,0.353,0.358,0.362,0.374,1.007
2.607,2.564,2.31,2.59,2.587,2.4,2.521,2.547,2.262,1.151,1.214,1.34,1.335,1.117,1.259,1.057,1.348,1.325,0.611,0.687,0.614,0.678,0.675,0.674,0.68,0.683,0.685,1.13,0.358,0.359,0.355,0.354,0.358,0.362,0.372,1.007
2.607,2.402,2.514,2.536,2.489,2.345,2.367,2.397,2.541,1.347,1.343,1.132,1.335,1.335,1.113,1.196,1.231,1.245,0.685,0.685,0.683,0.677,0.673,0.526,0.627,0.532,0.66,1.387,0.358,0.359,0.324,0.353,0.358,0.362,0.374,0.809
2.606,2.527,2.353,2.196,2.587,2.303,2.593,2.305,2.539,1.346,1.343,1.291,1.335,1.335,1.338,1.054,1.347,1.356,0.683,0.687,0.682,0.678,0.675,0.61,0.68,0.681,0.685,1.161,0.358,0.359,0.355,0.354,0.356,0.362,0.374,1.001
2.607,2.601,2.593,2.043,2.301,2.347,2.593,2.506,2.54,1.348,1.343,1.341,1.335,1.261,1.338,1.341,1.348,1.15,0.685,0.685,0.683,0.677,0.672,0.676,0.679,0.683,0.535,1.144,0.358,0.359,0.355,0.353,0.278,0.362,0.373,0.999
2.606,2.601,2.593,2.589,2.587,2.485,2.592,2.59,2.253,1.169,1.343,1.341,1.335,1.247,1.238,1.342,1.348,1.356,0.685,0.687,0.682,0.678,0.524,0.675,0.68,0.681,0.684,1.388,0.356,0.359,0.355,0.354,0.355,0.362,0.374,0.994
2.606,2.028,2.594,2.021,2.302,2.588,2.04,2.591,2.376,1.348,1.056,1.341,1.335,1.335,1.338,1.342,1.347,1.356,0.57,0.685,0.683,0.677,0.672,0.676,0.667,0.683,0.685,1.386,0.358,0.291,0.355,0.316,0.357,0.361,0.373,0.989
2.485,2.601,2.308,2.59,2.587,2.482,2.467,2.219,2.252,1.176,1.195,1.341,1.094,1.335,1.337,1.34,1.118,1.15,0.685,0.687,0.682,0.678,0.523,0.656,0.673,0.597,0.683,1.243,0.356,0.359,0.335,0.354,0.355,0.362,0.373,0.971
2.32,2.6,2.309,2.59,2.586,2.336,2.592,2.304,2.536,1.349,1.326,1.184,1.334,1.294,1.338,1.19,1.348,1.107,0.684,0.635,0.683,0.626,0.673,0.526,0.68,0.684,0.685,1.347,0.358,0.358,0.355,0.339,0.278,0.361,0.372,0.982
