2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.981,0.989,0.488,0.244
1.981,0.989,0.488,0.243
1.982,0.989,0.487,0.245
1.983,0.989,0.49,0.244
1.98,0.989,0.487,0.245
1.982,0.989,0.488,0.245
1.983,0.989,0.488,0.244
1.981,0.99,0.488,0.244
1.982,0.988,0.488,0.242
1.983,0.988,0.488,0.244
1.983,0.989,0.488,0.242
1.982,0.989,0.487,0.244
1.982,0.989,0.489,0.245
1.983,0.988,0.488,0.245
1.98,0.989,0.49,0.245
1.98,0.989,0.488,0.243
1.98,0.989,0.489,0.244
1.981,0.989,0.488,0.243
1.979,0.989,0.49,0.244
1.979,0.989,0.488,0.245
1.981,0.989,0.49,0.245
1.98,0.989,0.487,0.245
1.98,0.989,0.49,0.243
1.98,0.989,0.488,0.245
1.98,0.989,0.49,0.243
1.98,0.989,0.488,0.245
1.98,0.989,0.489,0.245
1.98,0.989,0.487,0.245
1.98,0.989,0.489,0.245
1.981,0.989,0.487,0.243
1.981,0.989,0.489,0.245
1.981,0.989,0.487,0.243
1.98,0.989,0.49,0.245
1.983,0.989,0.487,0.243
1.983,0.989,0.487,0.245
1.982,0.989,0.489,0.245
1.984,0.989,0.487,0.245
1.983,0.989,0.489,0.245
1.983,0.989,0.488,0.243
1.983,0.989,0.489,0.245
1.983,0.989,0.488,0.243
1.982,0.989,0.49,0.245
1.981,0.989,0.487,0.244
1.983,0.989,0.49,0.245
1.983,0.989,0.488,0.245
1.981,0.989,0.49,0.243
1.983,0.989,0.488,0.245
1.981,0.989,0.49,0.243
1.981,0.989,0.49,0.245
1.982,0.989,0.488,0.245
1.981,0.989,0.489,0.245
1.983,0.99,0.487,0.245
1.982,0.989,0.49,0.243
1.983,0.989,0.488,0.245
1.982,0.989,0.489,0.243
1.982,0.988,0.488,0.244
1.983,0.99,0.49,0.245
1.984,0.989,0.487,0.245
1.983,0.988,0.489,0.245
1.984,0.99,0.488,0.243
1.983,0.989,0.49,0.244
1.983,0.988,0.487,0.243
1.984,0.989,0.489,0.245
1.983,0.988,0.487,0.245
1.983,0.988,0.489,0.245
1.984,0.989,0.489,0.245
1.983,0.988,0.488,0.243
1.984,0.989,0.49,0.244
1.983,0.989,0.487,0.243
1.983,0.989,0.489,0.245
1.982,0.989,0.487,0.244
1.981,0.989,0.489,0.245
1.983,0.989,0.487,0.244
1.983,0.989,0.489,0.243
1.983,0.99,0.487,0.245
1.982,0.99,0.487,0.243
1.983,0.989,0.489,0.245
1.981,0.99,0.487,0.245
1.981,0.99,0.49,0.245
1.983,0.989,0.488,0.245
1.981,0.989,0.489,0.245
1.981,0.989,0.488,0.245
1.98,0.99,0.489,0.243
1.981,0.99,0.488,0.244
1.98,0.988,0.49,0.245
1.98,0.99,0.487,0.244
1.98,0.99,0.488,0.244
1.981,0.99,0.49,0.243
1.983,0.99,0.489,0.245
1.982,0.99,0.49,0.243
1.984,0.99,0.488,0.244
1.983,0.989,0.49,0.245
1.984,0.992,0.488,0.245
1.983,0.989,0.49,0.245
1.983,0.99,0.488,0.243
1.983,0.989,0.49,0.245
1.983,0.989,0.487,0.244
1.981,0.99,0.489,0.245
1.982,0.99,0.488,0.245
1.98,0.989,0.49,0.244
1.981,0.988,0.488,0.245
1.983,0.989,0.49,0.243
1.983,0.989,0.487,0.244
1.981,0.989,0.489,0.244
1.981,0.989,0.488,0.244
1.982,0.989,0.49,0.244
1.982,0.989,0.488,0.243
1.981,0.989,0.49,0.245
1.982,0.989,0.488,0.243
1.98,0.989,0.49,0.245
1.981,0.989,0.488,0.245
1.981,0.991,0.489,0.245
1.982,0.989,0.488,0.245
1.981,0.988,0.489,0.243
1.981,0.99,0.488,0.245
1.983,0.989,0.489,0.245
1.981,0.99,0.488,0.244
1.981,0.989,0.49,0.245
1.981,0.989,0.488,0.244
1.982,0.989,0.49,0.244
1.981,0.989,0.488,0.242
1.982,0.989,0.49,0.244
1.982,0.989,0.488,0.244
1.983,0.988,0.489,0.244
1.982,0.989,0.488,0.244
1.982,0.989,0.49,0.244
1.983,0.991,0.49,0.244
1.982,0.988,0.488,0.242
1.984,0.989,0.49,0.244
1.984,0.989,0.488,0.244
1.982,0.99,0.489,0.244
1.985,0.989,0.487,0.245
1.983,0.99,0.49,0.243
1.984,0.988,0.488,0.244
1.983,0.988,0.49,0.243
1.984,0.989,0.487,0.245
1.983,0.989,0.489,0.245
1.982,0.99,0.488,0.245
1.981,0.989,0.49,0.245
1.981,0.989,0.488,0.244
1.981,0.99,0.49,0.244
1.981,0.99,0.488,0.243
1.981,0.989,0.49,0.244
1.981,0.99,0.488,0.244
1.981,0.988,0.49,0.244
1.983,0.989,0.488,0.244
1.983,0.989,0.49,0.242
1.983,0.989,0.487,0.244
1.983,0.989,0.49,0.242
1.981,0.989,0.488,0.245
1.982,0.989,0.489,0.244
1.981,0.989,0.488,0.245
1.982,0.989,0.49,0.245
1.981,0.989,0.489,0.243
1.983,0.991,0.49,0.244
1.983,0.99,0.489,0.243
1.983,0.991,0.49,0.245
1.982,0.991,0.489,0.245
1.983,0.989,0.49,0.245
1.984,0.989,0.489,0.245
1.983,0.989,0.49,0.243
1.981,0.989,0.488,0.245
1.982,0.99,0.491,0.244
1.982,0.99,0.488,0.245
1.98,0.989,0.489,0.245
1.981,0.99,0.49,0.243
1.981,0.989,0.488,0.244
1.98,0.989,0.49,0.243
1.981,0.989,0.487,0.245
1.981,0.99,0.49,0.245
1.983,0.99,0.488,0.245
1.983,0.99,0.49,0.245
1.983,0.99,0.488,0.245
1.984,0.989,0.49,0.244
1.982,0.989,0.487,0.242
1.984,0.989,0.49,0.244
1.984,0.99,0.487,0.242
1.983,0.99,0.489,0.244
1.983,0.989,0.488,0.242
1.984,0.989,0.489,0.245
1.983,0.989,0.487,0.245
1.983,0.989,0.49,0.245
1.981,0.99,0.488,0.245
1.983,0.989,0.489,0.243
1.982,0.989,0.488,0.245
1.983,0.988,0.491,0.243
1.983,0.988,0.488,0.245
1.983,0.989,0.491,0.243
1.983,0.99,0.489,0.245
1.983,0.99,0.49,0.245
1.982,0.988,0.489,0.245
1.982,0.989,0.49,0.245
1.983,0.989,0.488,0.245
1.982,0.99,0.49,0.244
1.982,0.989,0.49,0.245
1.981,0.989,0.488,0.244
1.98,0.989,0.49,0.242
1.981,0.989,0.487,0.244
1.981,0.99,0.489,0.243
1.982,0.989,0.488,0.245
