2m_0deg,2m_22deg,2m_45deg,2m_67deg,2m_90deg,1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg
1.977,1.96,1.949,3.673,3.669,0.99,0.972,0.919,0.885,0.851
1.975,1.957,1.949,3.671,3.67,0.99,0.973,0.92,0.887,0.846
1.975,1.958,1.949,3.673,3.669,0.99,0.972,0.919,0.885,0.848
1.975,1.973,2.005,3.669,3.67,0.99,0.972,0.922,0.885,0.849
1.977,1.973,2.012,3.669,3.667,0.99,0.972,0.923,0.887,0.849
1.977,1.97,2.949,3.673,3.668,0.99,0.972,0.925,0.886,0.85
1.976,1.957,2.95,3.67,3.67,0.99,0.972,0.926,0.885,0.849
1.977,1.957,2.952,3.672,3.669,0.99,0.971,0.927,0.885,0.855
1.976,1.957,1.999,3.673,3.67,0.99,0.971,0.926,0.882,0.849
1.976,1.961,2.003,3.674,3.672,0.99,0.971,0.929,0.882,0.848
1.976,1.963,2.006,3.673,3.671,0.989,0.972,0.927,0.877,0.849
1.977,1.961,1.993,3.672,3.674,0.989,0.972,0.927,0.88,0.848
1.975,1.962,2.008,3.673,3.671,0.989,0.972,0.926,0.876,0.848
1.976,1.963,2.016,3.672,3.673,0.99,0.972,0.923,0.878,0.849
1.976,1.961,2.022,3.673,3.67,0.991,0.973,0.923,0.878,0.849
1.976,1.959,2.065,3.673,3.672,0.99,0.972,0.92,0.884,0.851
1.975,1.956,2.056,3.674,3.671,0.99,0.971,0.92,0.886,0.849
1.978,1.955,2.045,3.673,3.671,0.989,0.972,0.918,0.886,0.851
1.977,1.956,2.199,3.674,3.669,0.99,0.972,0.917,0.883,0.849
1.976,1.954,2.945,3.672,3.673,0.99,0.972,0.917,0.884,0.847
1.975,1.951,2.946,3.675,3.672,0.989,0.972,0.92,0.885,0.845
1.977,1.954,2.946,3.672,3.673,0.989,0.972,0.919,0.883,0.843
1.976,1.954,2.945,3.674,3.67,0.99,0.972,0.919,0.881,0.845
1.978,1.954,2.945,3.673,3.67,0.99,0.972,0.92,0.879,0.845
1.977,1.95,2.946,3.677,3.67,0.99,0.974,0.926,0.88,0.851
1.977,1.95,2.948,3.674,3.671,0.99,0.972,0.927,0.878,0.851
1.975,1.951,2.947,3.675,3.668,0.99,0.972,0.928,0.878,0.853
1.976,1.95,2.947,3.671,3.67,0.989,0.972,0.922,0.878,0.851
1.976,1.948,2.948,3.675,3.671,0.989,0.971,0.932,0.881,0.849
1.978,1.949,2.949,3.67,3.67,0.99,0.972,0.933,0.879,0.848
1.975,1.951,2.948,3.672,3.669,0.989,0.972,0.928,0.88,0.848
1.977,1.953,2.949,3.671,3.669,0.989,0.972,0.924,0.876,0.846
1.976,1.953,2.949,3.671,3.67,0.99,0.971,0.924,0.876,0.845
1.977,1.964,2.949,3.671,3.669,0.989,0.971,0.925,0.873,0.844
1.976,1.976,2.951,3.672,3.669,0.99,0.971,0.924,0.873,0.846
1.976,1.97,2.952,3.671,3.669,0.99,0.971,0.922,0.872,0.847
1.976,1.965,2.95,3.673,3.67,0.991,0.972,0.922,0.871,0.845
1.975,1.963,2.952,3.674,3.67,0.99,0.972,0.923,0.874,0.848
1.976,1.97,2.951,3.674,3.671,0.991,0.971,0.922,0.873,0.849
1.975,1.969,2.949,3.676,3.671,0.99,0.972,0.92,0.878,0.853
1.975,1.961,2.948,3.674,3.672,0.989,0.971,0.922,0.881,0.854
1.977,1.955,2.948,3.677,3.672,0.99,0.972,0.923,0.879,0.853
1.976,1.953,2.947,3.674,3.671,0.99,0.972,0.923,0.881,0.852
1.977,1.95,2.946,3.676,3.67,0.989,0.971,0.925,0.882,0.854
1.976,1.952,2.947,3.673,3.671,0.99,0.972,0.927,0.882,0.855
1.975,1.95,2.948,3.656,3.67,0.99,0.972,0.927,0.884,0.851
1.976,1.949,2.946,3.674,3.67,0.99,0.972,0.926,0.884,0.851
1.977,1.947,2.948,3.676,3.669,0.99,0.973,0.927,0.887,0.851
1.975,1.949,2.949,3.675,3.669,0.99,0.972,0.926,0.887,0.853
1.975,1.952,2.949,3.674,3.67,0.989,0.972,0.931,0.885,0.856
1.976,1.951,1.974,3.673,3.669,0.99,0.971,0.933,0.885,0.858
1.974,1.953,1.972,3.673,3.67,0.99,0.972,0.922,0.884,0.858
1.974,1.952,1.962,3.673,3.669,0.99,0.972,0.931,0.88,0.858
1.975,1.953,1.962,3.67,3.668,0.99,0.972,0.931,0.877,0.861
1.976,1.962,2.013,3.669,3.656,0.989,0.972,0.918,0.875,0.857
1.976,1.963,2.033,3.672,3.67,0.99,0.972,0.931,0.874,0.858
1.976,1.957,2.131,3.672,3.669,0.99,0.972,0.929,0.876,0.853
1.976,1.956,2.052,3.671,3.67,0.99,0.973,0.92,0.875,0.852
1.975,1.957,2.137,3.673,3.669,0.99,0.973,0.926,0.874,0.85
1.974,1.96,2.138,3.672,3.673,0.99,0.972,0.923,0.881,0.848
1.976,1.956,2.147,3.675,3.671,0.99,0.972,0.924,0.881,0.849
1.976,1.955,2.151,3.672,3.67,0.99,0.972,0.924,0.881,0.853
1.976,1.955,2.141,3.675,3.671,0.99,0.972,0.92,0.878,0.856
1.977,1.957,2.142,3.673,3.67,0.99,0.973,0.92,0.877,0.855
1.977,1.955,2.056,3.673,3.671,0.989,0.972,0.922,0.88,0.856
1.976,1.958,2.947,3.673,3.672,0.989,0.972,0.92,0.879,0.856
1.976,1.955,2.951,3.674,3.671,0.99,0.972,0.92,0.88,0.858
1.975,1.954,2.948,3.673,3.672,0.989,0.972,0.919,0.881,0.854
1.976,1.954,2.949,3.674,3.671,0.989,0.972,0.92,0.885,0.854
1.974,1.951,2.949,3.673,3.67,0.989,0.972,0.919,0.885,0.855
1.976,1.953,2.947,3.674,3.67,0.991,0.972,0.921,0.885,0.856
1.975,1.952,2.948,3.674,3.672,0.991,0.972,0.922,0.879,0.854
1.977,1.954,2.948,3.674,3.67,0.99,0.972,0.923,0.879,0.853
1.977,1.96,2.947,3.67,3.672,0.991,0.972,0.928,0.871,0.851
1.976,1.954,2.947,3.672,3.67,0.991,0.972,0.93,0.877,0.855
1.976,1.953,2.948,3.669,3.673,0.99,0.972,0.931,0.875,0.853
1.974,1.96,2.947,3.671,3.669,0.991,0.971,0.932,0.874,0.855
1.975,1.957,2.948,3.669,3.673,0.99,0.973,0.93,0.874,0.855
1.974,1.958,2.946,3.671,3.671,0.99,0.972,0.93,0.875,0.857
1.973,1.957,2.946,3.67,3.671,0.989,0.972,0.93,0.875,0.855
1.974,1.961,2.945,3.67,3.669,0.989,0.971,0.928,0.874,0.852
1.978,1.961,2.948,3.671,3.672,0.99,0.972,0.926,0.877,0.853
1.974,1.964,2.948,3.672,3.671,0.99,0.972,0.926,0.877,0.853
1.976,1.964,2.948,3.672,3.673,0.99,0.972,0.924,0.877,0.856
1.975,1.964,2.948,3.67,3.671,0.99,0.972,0.924,0.872,0.855
1.977,1.963,2.947,3.674,3.672,0.99,0.972,0.926,0.877,0.856
1.976,1.968,2.949,3.673,3.671,0.99,0.972,0.929,0.887,0.858
1.976,1.957,2.946,3.675,3.672,0.99,0.972,0.93,0.879,0.858
1.976,1.959,2.948,3.672,3.669,0.99,0.972,0.931,0.878,0.857
1.976,1.953,2.948,3.675,3.673,0.99,0.972,0.931,0.88,0.856
1.976,1.964,2.946,3.672,3.671,0.989,0.972,0.934,0.881,0.854
1.976,1.952,2.947,3.674,3.671,0.989,0.972,0.931,0.882,0.854
1.978,1.962,2.948,3.672,3.672,0.989,0.971,0.93,0.881,0.851
1.975,1.95,2.948,3.675,3.672,0.99,0.971,0.928,0.882,0.852
1.974,1.952,2.948,3.671,3.671,0.99,0.971,0.931,0.881,0.852
1.975,1.949,2.95,3.673,3.674,0.99,0.972,0.927,0.882,0.851
1.977,1.948,2.951,3.67,3.673,0.989,0.972,0.926,0.882,0.85
1.975,1.95,2.952,3.672,3.673,0.989,0.97,0.926,0.881,0.85
1.976,1.948,2.951,3.672,3.671,0.989,0.972,0.926,0.881,0.85
1.975,1.947,2.95,3.674,3.67,0.989,0.972,0.925,0.881,0.85
1.977,1.95,2.95,3.672,3.671,0.989,0.972,0.923,0.881,0.846
1.976,1.954,2.949,3.674,3.672,0.99,0.973,0.929,0.879,0.848
1.976,1.955,2.95,3.674,3.671,0.99,0.972,0.93,0.878,0.848
1.978,1.957,2.949,3.675,3.673,0.99,0.972,0.928,0.877,0.85
1.977,1.957,2.949,3.673,3.67,0.989,0.971,0.929,0.877,0.849
1.976,1.956,2.948,3.677,3.672,0.99,0.971,0.932,0.877,0.851
1.976,1.957,2.947,3.675,3.671,0.989,0.972,0.93,0.88,0.852
1.976,1.958,2.948,3.674,3.673,0.99,0.972,0.93,0.878,0.853
1.975,1.957,2.95,3.675,3.672,0.99,0.972,0.93,0.879,0.852
1.976,1.957,2.948,3.676,3.673,0.989,0.972,0.932,0.881,0.854
1.977,1.97,2.947,3.672,3.672,0.991,0.972,0.933,0.881,0.85
1.975,1.971,2.947,3.672,3.673,0.991,0.971,0.933,0.883,0.849
1.974,1.973,2.947,3.673,3.671,0.991,0.971,0.933,0.882,0.847
1.975,1.972,2.949,3.674,3.674,0.989,0.972,0.934,0.884,0.849
1.976,1.971,2.952,3.672,3.672,0.991,0.972,0.932,0.885,0.846
1.975,1.969,2.953,3.675,3.671,0.989,0.972,0.93,0.884,0.846
1.975,1.967,2.954,3.673,3.668,0.99,0.972,0.929,0.883,0.847
1.976,1.968,2.948,3.675,3.67,0.99,0.972,0.93,0.881,0.854
1.977,1.969,2.954,3.672,3.669,0.99,0.972,0.929,0.881,0.854
1.976,1.969,2.949,3.673,3.67,0.99,0.972,0.928,0.883,0.852
1.977,1.96,2.948,3.672,3.669,0.99,0.971,0.929,0.88,0.853
1.977,1.957,2.948,3.673,3.669,0.989,0.971,0.932,0.88,0.851
1.977,1.956,2.949,3.671,3.67,0.989,0.971,0.929,0.88,0.85
1.975,1.958,2.949,3.673,3.67,0.989,0.971,0.93,0.863,0.842
1.976,1.955,2.95,3.672,3.672,0.989,0.969,0.93,0.864,0.841
1.975,1.958,2.95,3.673,3.67,0.989,0.969,0.929,0.866,0.839
1.977,1.955,2.949,3.671,3.67,0.989,0.971,0.925,0.867,0.852
1.977,1.954,2.95,3.673,3.669,0.99,0.971,0.926,0.87,0.859
1.976,1.955,2.951,3.673,3.671,0.989,0.97,0.927,0.873,0.856
1.976,1.956,2.951,3.676,3.671,0.989,0.971,0.926,0.878,0.855
1.976,1.952,2.948,3.673,3.668,0.99,0.971,0.925,0.878,0.855
1.976,1.952,2.949,3.672,3.67,0.99,0.971,0.932,0.881,0.853
1.976,1.955,2.948,3.671,3.67,0.99,0.971,0.934,0.884,0.851
1.976,1.954,2.949,3.671,3.673,0.989,0.971,0.932,0.983,0.851
1.976,1.958,2.949,3.672,3.675,0.99,0.971,0.921,0.882,0.849
1.977,1.957,2.949,3.672,3.675,0.99,0.972,0.931,0.881,0.849
1.975,1.956,2.95,3.672,3.672,0.991,0.971,0.937,0.88,0.846
1.975,1.954,2.95,3.673,3.673,0.99,0.972,0.937,0.877,0.846
1.975,1.959,2.95,3.673,3.67,0.989,0.972,0.937,0.875,0.856
1.975,1.956,2.126,3.673,3.676,0.989,0.972,0.92,0.876,0.857
1.976,1.957,2.126,3.675,3.673,0.99,0.97,0.919,0.878,0.858
1.976,1.954,2.126,3.673,3.675,0.99,0.969,0.917,0.882,0.861
1.976,1.953,2.025,3.675,3.674,0.99,0.969,0.917,0.881,0.859
1.975,1.955,2.026,3.672,3.675,0.991,0.969,0.917,0.884,0.854
1.976,1.953,2.022,3.673,3.674,0.99,0.968,0.917,0.883,0.855
1.976,1.951,2.14,3.674,3.674,0.99,0.97,0.916,0.884,0.851
1.976,1.95,2.141,3.673,3.674,0.99,0.97,0.925,0.882,0.85
1.977,1.951,2.141,3.671,3.674,0.99,0.969,0.935,0.883,0.848
1.976,1.95,2.141,3.673,3.671,0.99,0.97,0.932,0.884,0.849
1.976,1.952,2.14,3.671,3.673,0.99,0.97,0.931,0.884,0.851
1.975,1.951,2.136,3.672,3.67,0.991,0.969,0.926,0.88,0.85
1.976,1.951,2.139,3.67,3.674,0.989,0.969,0.923,0.879,0.85
1.975,1.954,2.126,3.672,3.672,0.989,0.97,0.922,0.879,0.85
1.975,1.952,2.024,3.673,3.673,0.989,0.969,0.92,0.885,0.861
1.975,1.954,2.023,3.674,3.671,0.99,0.971,0.919,0.874,0.861
1.975,1.954,2.025,3.673,3.671,0.99,0.971,0.917,0.885,0.853
1.975,1.95,2.026,3.673,3.67,0.99,0.972,0.919,0.908,0.856
1.975,1.952,1.96,3.672,3.67,0.99,0.971,0.927,0.887,0.852
1.975,1.95,1.958,3.674,3.668,0.99,0.971,0.929,0.888,0.854
1.977,1.951,1.959,3.673,3.672,0.989,0.972,0.933,0.89,0.852
1.976,1.954,1.963,3.675,3.671,0.99,0.971,0.933,0.889,0.852
1.976,1.953,1.962,3.674,3.672,0.99,0.972,0.929,0.884,0.849
1.974,1.953,1.995,3.673,3.67,0.989,0.972,0.926,0.881,0.848
1.976,1.949,2.0,3.674,3.672,0.99,0.97,0.928,0.874,0.843
1.976,1.952,2.95,3.672,3.672,0.99,0.971,0.926,0.88,0.844
1.976,1.949,2.952,3.675,3.673,0.99,0.971,0.927,0.88,0.845
1.976,1.948,2.95,3.675,3.672,0.99,0.972,0.923,0.875,0.853
1.976,1.948,2.951,3.674,3.671,0.99,0.971,0.926,0.875,0.852
1.976,1.95,2.951,3.673,3.672,0.99,0.972,0.926,0.883,0.854
1.976,1.951,2.949,3.675,3.672,0.99,0.971,0.926,0.884,0.852
1.977,1.95,2.948,3.673,3.673,0.989,0.97,0.925,0.882,0.853
1.975,1.952,2.948,3.673,3.672,0.99,0.969,0.925,0.881,0.851
1.976,1.956,2.947,3.673,3.672,0.99,0.971,0.927,0.882,0.846
1.976,1.955,2.946,3.673,3.672,0.99,0.971,0.928,0.881,0.844
1.975,1.96,2.947,3.67,3.672,0.989,0.97,0.929,0.88,0.846
1.977,1.959,2.948,3.672,3.671,0.99,0.97,0.931,0.877,0.854
1.977,1.957,2.946,3.671,3.672,0.989,0.971,0.927,0.874,0.849
1.975,1.951,2.948,3.672,3.671,0.99,0.971,0.926,0.873,0.85
1.976,1.949,2.948,3.672,3.67,0.99,0.969,0.925,0.872,0.854
1.977,1.949,2.947,3.671,3.669,0.99,0.97,0.924,0.874,0.856
1.977,1.954,2.949,3.673,3.67,0.989,0.971,0.925,0.875,0.854
1.977,1.953,2.951,3.671,3.671,0.989,0.971,0.926,0.878,0.854
1.975,1.953,2.949,3.662,3.67,0.99,0.97,0.927,0.884,0.852
1.978,1.956,2.95,1.901,3.67,0.99,0.97,0.929,0.883,0.853
1.976,1.957,2.949,1.901,3.67,0.99,0.971,0.928,0.885,0.854
1.976,1.957,2.95,1.907,3.671,0.991,0.971,0.929,0.886,0.852
1.976,1.954,2.136,3.671,3.671,0.991,0.97,0.93,0.884,0.853
1.976,1.956,2.949,3.672,3.671,0.991,0.971,0.931,0.884,0.852
1.976,1.955,2.949,3.671,3.67,0.99,0.969,0.926,0.883,0.851
1.976,1.954,2.95,3.67,3.671,0.991,0.969,0.93,0.879,0.853
1.976,1.95,2.951,3.673,3.672,0.989,0.969,0.924,0.878,0.852
1.976,1.95,2.951,3.672,3.67,0.989,0.969,0.923,0.877,0.854
1.976,1.95,2.951,3.672,3.671,0.989,0.97,0.922,0.875,0.852
1.976,1.95,2.948,3.672,3.672,0.989,0.97,0.923,0.876,0.855
1.976,1.949,2.111,3.674,3.671,0.989,0.969,0.925,0.877,0.853
1.975,1.948,2.947,3.672,3.673,0.989,0.971,0.924,0.877,0.854
1.975,1.946,2.947,3.674,3.671,0.989,0.971,0.925,0.878,0.852
1.974,1.95,2.109,3.673,3.67,0.99,0.97,0.926,0.877,0.854
1.976,1.953,2.103,3.674,3.672,0.989,0.97,0.932,0.878,0.852
1.976,1.953,2.1,3.672,3.671,0.989,0.97,0.933,0.877,0.853
